Source Text,Unit of creative potential,Annotator A,Annotator B,Total annotators
2BR02B,2BR02B,1,1,2
Everything was perfectly swell.,perfectly swell,1,1,2
So was old age.,So was all age,1,1,2
"Death, barring accidents, was an adventure for volunteers.",barring accidents,1,0,1
,volunteers,1,0,1
The population of the United States was stabilized at forty-million souls.,was stabilized at,1,0,1
"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",Chicago Lying-in Hospital,1,1,2
,"Edward K. Wehling, Jr.",1,0,1
,waited for his wife to give birth,0,1,1
He was the only man waiting.,the only man waiting,1,1,2
Not many people were born a day any more.,Not many people were born a day any more,0,1,1
"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",a mere stripling,1,1,2
X-rays had revealed that his wife was going to have triplets.,X-rays,1,0,1
"Young Wehling was hunched in his chair, his head in his hand.","hunches in this chair, his head in his hand",0,1,1
"He was so rumpled, so still and colorless as to be virtually invisible.","so rumpled, so still, and colorless",1,0,1
,as to be virtually invisible,0,1,1
"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",disorderly and demoralized air,1,1,2
The floor was paved with spattered dropcloths.,spattered dropcloths,1,1,2
The room was being redecorated.,redecorated,1,0,1
"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",sardonic old man,1,0,1
"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",Back in the days,0,1,1
Aging had touched him that much before the cure for aging was found.,Aging had touched him that much,1,0,1
The mural he was working on depicted a very neat garden.,mural,1,0,1
"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.","Men and women in white, doctors and nurses",1,0,1
,"turned the soil, planted seedlings, sprayed bugs, spread fertilizer",0,1,1
"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",purple uniforms pulled up weeds,0,1,1
,trash burners,1,0,1
"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.","Never, never, never",0,1,1
,"been more formal, been better tended",0,1,1
"Every plant had all the loam, light, water, air and nourishment it could use.","loam, light, water, air and nourishment",1,1,2
"A hospital orderly came down the corridor, singing under his breath a popular song:",orderly came down the corridor,0,1,1
"If you don't like my kisses, honey,","If you don't like my kisses, honey,",1,1,2
Here's what I will do:,Here's what I will do:,1,1,2
"I'll go see a girl in purple,","I'll go see a girl in purple,",1,1,2
Kiss this sad world toodle-oo.,Kiss this sad world toodle-oo.,1,1,2
"If you don't want my lovin',","If you don't want my lovin',",1,1,2
Why should I take up all this space?,Why should I take up all this space?,1,1,2
"I'll get off this old planet,","I'll get off this old planet,",1,1,2
Let some sweet baby have my place.,Let some sweet baby have my place.,1,1,2
The orderly looked in at the mural and the muralist.,looked in at,0,1,1
,mural and muralist,1,1,2
"""What makes you think you're not in it?"" said the painter.",you (formal versus informal),1,0,1
He gave a satiric smile.,satiric smile,1,1,2
"""It's called 'The Happy Garden of Life,' you know.""",The Happy Garden of Life,1,1,2
,you know,1,0,1
"""That's good of Dr. Hitz,"" said the orderly.",Dr. Hitz,1,0,1
,That's good of,1,0,1
"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",whose head was a portrait of,1,0,1
,Chief Obstetrician,0,1,1
Hitz was a blindingly handsome man.,a blindingly handsome man,1,1,2
"""Lot of faces still to fill in,"" said the orderly.",Lot of faces,1,0,1
,still to fill in,1,1,2
He meant that the faces of many of the figures in the mural were still blank.,still blank,1,0,1
All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.,Chicago Office of the Federal Bureau of Termination,1,1,2
"""Must be nice to be able to make pictures that look like something,"" said the orderly.",Must be nice … look like something,1,0,1
The painter's face curdled with scorn.,faced burdled with scorn,0,1,1
"""You think I'm proud of this daub?"" he said.",You think,1,0,1
,this daub,1,1,2
"""What's your idea of what life looks like?"" said the orderly.",your (formal vs informal),1,0,1
The painter gestured at a foul dropcloth.,foul dropcloth,1,1,2
"""There's a good picture of it,"" he said.",There's a good picture of it.,1,0,2
"""Frame that, and you'll have a picture a damn sight more honest than this one.""",damn sight more honest,1,1,2
"""You're a gloomy old duck, aren't you?"" said the orderly.",gloomy old duck,1,1,2
"""If you don't like it here, Grandpa..."" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",Grandpa,1,1,2
"The orderly shrugged. ""If you don't like it here, Grandpa--"" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call",trick telephone number ,1,0,2
"The zero in the telephone number he pronounced ""naught.""","The zero in the telephone number he pronounced ""naught.""",1,1,2
"The number was: ""2 B R 0 2 B.""",2BR02B,1,1,2
"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",fanciful,1,0,1
,sobriquets,1,1,2
,Automat,1,1,2
,Birdland,1,1,2
,Cannery,1,1,2
,Catbox,1,1,2
,De-louser,1,1,2
,Easy-go,1,1,2
,"Good-by, Mother",1,1,2
,Happy Hooligan,1,1,2
,Kiss-me-quick,1,1,2
,Lucky Pierre,1,1,2
,Sheepdip,1,1,2
,Waring Blendor,1,1,2
,Weep-no-more,1,1,2
,Why Worry?,1,1,2
"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.","""To be or not to be""",1,1,2
,Federal Bureau of Termination,0,1,1
"""A do-it-yourselfer, eh?"" said the orderly.",do-it-yourselfer,1,0,1
"""Messy business, Grandpa.","Messy business, Granpa",1,1,2
The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,expressed with an obscenity,1,1,2
,lack of concern,1,0,2
,tribulations,1,0,2
"""The world could do with a good deal more mess, if you ask me,"" he said.",could do with a,0,1,1
"A coarse, formidable woman strode into the waiting room on spike heels.","coarse, formidable woman",1,1,2
,spike heels,1,0,1
,strode into the waiting room,1,0,1
"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called ""the color of grapes on Judgment Day.""",overseas cap,0,1,1
,the color of grapes on Judgment Day,1,1,2
"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",musette bag,1,1,2
,Service Division,1,1,2
,medallion,1,0,1
"The woman had a lot of facial hair--an unmistakable mustache , in fact.",unmistakable mustache,0,1,1
"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",sprouted mustaches,0,1,1
"""A lot would depend on what your business was,"" he said.",what your business was,1,1,2
"""My name's Leora Duncan.""",Leora Duncan,1,0,1
"""And you dunk people,"" he said.",dunk people,1,1,2
"""Looks just like heaven or something.""",Looks just like heaven or something.,1,0,1
"""Or something,"" said the painter. ",Or something,0,1,1
He took a list of names from his smock pocket.,smock,0,1,1
You're entitled to be immortalized.,entitled to be immortalized,1,1,2
See any faceless body here you'd like me to stick your head on?,faceless body,1,0,1
,stick your head on,1,0,1
We've got a few choice ones left.,choice ones,0,1,1
"""Gee,"" she said, ""they're all the same to me.",Gee,1,1,2
"""A body's a body, eh?"" he said, ""All righty.","A body's a body, eh?",1,1,2
,All righty,1,1,2
He indicated a faceless figure of a woman who was carrying dried stalks to a trash-burner.,faceless figure,1,1,2
"""Well,"" said Leora Duncan, ""that's more the disposal people, isn't it?","Well,",0,1,1
,disposal people,1,1,2
"I mean, I'm in service.",I'm in service,1,0,1
The painter clapped his hands in mock delight.,in mock delight,1,1,2
Of course the sheave-carrier is wrong for a hostess!,sheave-carrier,1,1,2
"A snipper, a pruner—that's more your line.""",a pruner,1,1,2
,that's more your line,1,0,1
"""Gosh—"" she said, and she blushed and became humble—""that—that puts me right next to Dr. Hitz.""",Gosh,1,1,2
"""Good gravy, no!"" she said.",Good gravy,1,1,2
"""Ah, You admire him, eh?"" he said.",You (upper case),1,0,1
,eh?,0,1,1
"""Nothing would please me more,"" said the painter, ""than to put you next to him for all time.",Nothing would please me more,1,1,2
"""That is kind of like what I do,"" she said.",kind of like,0,1,1
She was demure about what she did. ,She was demure about what she did. ,1,0,1
"He was seven feet tall, and he boomed with importance, accomplishments, and the joy of living.",seven feet tall,1,1,2
,boomed with,0,1,1
"""Well, Miss  Duncan! Miss Duncan!"" he said, and he made a joke. ",Miss,0,1,1
"""What are you doing here?"" he said. ",you (formal versus informal),1,0,1
"""And, say, isn't that some picture?""","say, ins't that some picture?",0,1,1
"""I sure am honored to be in it with you,"" she said.",I sure am,0,1,1
,you (formal versus informal),1,0,1
"""Let me tell you ,"" he said, ""I'm honored to be in it with you. ",Let me tell you,0,1,1
"""Guess what was just born,"" he said.",Guess what,1,0,1
She was exclaiming over the legal implications of triplets.,exclaiming over the legal implications of triplets,1,1,2
"Triplets, if they were all to live, called for three volunteers.",if they were all to live,0,1,1
"""Last I heard,"" said Dr. Hitz, ""they had one, and were trying to scrape another two up.""",to scrape another two up,1,1,2
,Last I heard,0,1,1
"""I don't think they made it ,"" she said.",they made it,0,1,1
"Nothing but singles going through today, unless somebody called in after I left.",singles going through,1,1,2
,called in,0,1,1
"What's the name?""",What's the name?,1,0,1
"""Wehling,"" said the waiting father, sitting up, red-eyed and frowzy.",red-eyed and frowzy,1,0,1
"""Edward K. Wehling, Jr., is the name of the happy father-to-be.""",happy father-to-be,0,1,1
"He raised his right hand, looked at a spot on the wall, gave a hoarsely wretched chuckle.",hoarsely wretched chuckle,1,1,2
"""Oh, Mr. Wehling,"" said Dr. Hitz, ""I didn't see you.""",you (formal versus informal),1,0,1
"""The invisible man,"" said Wehling.",invisible man,1,0,1
"""They're all fine, and so is the mother. I'm on my way in to see them now.""",the mother,1,0,1
"""Hooray,"" said Wehling emptily.",empitly,1,0,1
"""What man in my shoes wouldn't be happy?"" said Wehling.",What man in my shoes,0,1,1
He gestured with his hands to symbolize care-free simplicity.,He gestured with his hands to symbolize care-free simplicity.,1,0,1
"""All I have to do  is pick out which one of the triplets is going to live, then deliver my maternal grandfather to the Happy Hooligan , and come back here with a receipt.""",All I have to do,0,1,1
"""I think it's perfectly keen,"" said Wehling tautly.",it's perflect keen,1,1,2
,tautly,1,1,2
"""Would you like to go back to the good old days, when the population of the Earth was twenty billion—about to become forty billion, then eighty billion, then one hundred and sixty billion?",good old days,0,1,1
"Do you know what a drupelet is, Mr. Wehling?"" said Hitz.",drupelet,1,0,1
"""Nope,"" said Wehling sulkily.",sulkily,0,1,1
"""A drupelet, Mr. Wehling, is one of the little knobs, one of the little pulpy grains of a blackberry,"" said Dr. Hitz.","one of the little knobs, one of the little pulpy grains of a blackberry",1,0,1
"""Without population control, human beings would now be packed on this surface of this old planet like drupelets on a blackberry! Think of it!""",human beings would now be packed on this surface of this old planet like drupelets on a blackberry,1,0,1
"""In the year 2000,"" said Dr. Hitz, ""before scientists stepped in and laid down the law, there wasn't even enough drinking water to go around, and nothing to eat but sea-weed—and still people insisted on their right to reproduce like jackrabbits.",stepped in,0,1,1
,go around,0,1,1
,right to reproduce like jackrabbits,0,1,1
"""I should have said, 'Ethical Suicide Studios,'"" he said.",Ethical Suicide Studios,1,1,2
"""He or she is going to live on a happy, roomy, clean, rich planet, thanks to population control.","happy, roomy, clean, rich planet",0,1,1
"Now centuries of peace and plenty stretch before us as far as the imagination cares to travel.""",peace and plenty,0,1,1
,the imagination cares to travel,0,1,1
He smiled luminously.,luminously,0,1,1
Wehling shot Dr. Hitz dead. ,Wehling shot Dr. Hitz dead. ,1,0,1
"""There's room for one—a great big one,"" he said.",There's room for one—a great big one,1,1,2
"""It's only death,"" he said to her as she fell.",It's only death,1,1,2
"""There! Room for two.""","There! Room for two.""",0,1,1
Nobody came running.,Nobody came running.,0,1,1
"The painter sat on the top of his stepladder, looking down reflectively on the sorry scene.",sorry scene,0,1,1
"The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful ... to multiply and to live as long as possible—to do all that on a very small planet that would have to last forever.","The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful",1,1,2
He thought of war. He thought of plague. He thought of starvation.,He thought of war. He thought of plague. He thought of starvation.,1,0,2
"And then he decided he had had about enough  of life in the Happy Garden of Life , too, and he came slowly down from the ladder.",he had had about enough  ,0,1,1
And then he saw the telephone booth in the corner of the room.,telephone booth,1,0,1
"""We could probably fit you in late this afternoon, sir,"" she said.",fit you in,0,1,1
"""All right,"" said the painter, ""fit me in , if you please."" ",fit me in,0,1,1
"""Your city thanks you; your country thanks you; your planet thanks you.",Your city thanks you; your country thanks you; your planet thanks you.,1,0,1
"But the deepest thanks of all is from future generations.""","But the deepest thanks of all is from future generations.""",0,1,1
,,133,129,
